,title,release_year,age_rating,runtime,rating,metascore,director,votes,gross
0,Se7en,1995,R,127,8.6,65,David Fincher,1446944,100125643
1,The Silence of the Lambs,1991,R,118,8.6,85,Jonathan Demme,1271673,130742922
2,Shutter Island,2010,R,138,8.2,63,Martin Scorsese,1131492,128012934
3,The Sixth Sense,1999,PG-13,107,8.1,64,M. Night Shyamalan,912231,293506292
4,The Shining,1980,R,146,8.4,66,Stanley Kubrick,899321,44017374
5,Jurassic Park,1993,PG-13,127,8.1,68,Steven Spielberg,868386,402453882
6,The Terminator,1984,R,107,8.0,84,James Cameron,800229,38400000
7,Alien,1979,R,117,8.4,89,Ridley Scott,788645,78900000
8,Requiem for a Dream,2000,R,102,8.3,68,Darren Aronofsky,767672,3635482
9,A Clockwork Orange,1971,R,136,8.3,77,Stanley Kubrick,758657,6207725
10,Donnie Darko,2001,R,113,8.0,88,Richard Kelly,740577,1480006
11,Black Swan,2010,R,108,8.0,79,Darren Aronofsky,700181,106954678
12,I Am Legend,2007,PG-13,101,7.2,65,Francis Lawrence,687507,256386216
13,Aliens,1986,R,137,8.3,84,James Cameron,653276,85160248
14,Pan's Labyrinth,2006,R,118,8.2,98,Guillermo del Toro,619118,37634615
15,Psycho,1960,R,109,8.5,97,Alfred Hitchcock,604875,32000000
16,World War Z,2013,PG-13,116,7.0,63,Marc Forster,602197,202359711
17,Jaws,1975,PG,124,8.0,87,Steven Spielberg,543685,260000000
18,Zombieland,2009,R,88,7.6,73,Ruben Fleischer,520339,75590286
19,Oldboy,2003,R,120,8.4,77,Chan-wook Park,516076,707481
20,Shaun of the Dead,2004,R,99,7.9,76,Edgar Wright,512615,13542874
21,Get Out,2017,R,104,7.7,85,Jordan Peele,493612,176040665
22,American Psycho,2000,R,101,7.6,64,Mary Harron,491031,15070285
23,Zodiac,2007,R,157,7.7,78,David Fincher,466891,33080084
24,It,2017,R,135,7.3,69,Andy Muschietti,460094,327481748
25,Rear Window,1954,PG,112,8.4,100,Alfred Hitchcock,444552,36764313
26,The Conjuring,2013,R,112,7.5,68,James Wan,442595,137400141
27,War of the Worlds,2005,PG-13,116,6.5,73,Steven Spielberg,416251,234280354
28,Saw,2004,R,103,7.6,46,James Wan,379284,56000369
29,28 Days Later...,2002,R,113,7.6,73,Danny Boyle,377114,45064915
30,The Cabin in the Woods,2011,R,95,7.0,72,Drew Goddard,377025,42073277
31,Cloverfield,2008,PG-13,85,7.0,64,Matt Reeves,373261,80048433
32,Predator,1987,R,107,7.8,45,John McTiernan,371660,59735548
33,The Thing,1982,R,109,8.1,57,John Carpenter,371644,13782838
34,The Exorcist,1973,R,122,8.0,81,William Friedkin,362606,232906145
35,Ghostbusters,1984,PG,105,7.8,71,Ivan Reitman,355656,238632124
36,Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,7.3,83,Tim Burton,344482,52898073
37,The Others,2001,PG-13,104,7.6,74,Alejandro Amenábar,337880,96522687
38,Signs,2002,PG-13,106,6.7,59,M. Night Shyamalan,337099,227966634
39,Sleepy Hollow,1999,R,105,7.3,65,Tim Burton,332242,101071502
40,The Devil's Advocate,1997,R,144,7.5,60,Taylor Hackford,332062,60984028
41,Mulholland Dr.,2001,R,147,7.9,85,David Lynch,322444,7220243
42,The Ring,2002,PG-13,115,7.1,57,Gore Verbinski,321493,129128133
43,Constantine,2005,R,121,7.0,50,Francis Lawrence,307250,75976178
44,The Nightmare Before Christmas,1993,PG,76,8.0,82,Henry Selick,300406,75082668
45,Interview with the Vampire: The Vampire Chronicles,1994,R,123,7.5,59,Neil Jordan,295072,105264608
46,Scream,1996,R,111,7.3,65,Wes Craven,287948,103046663
47,From Dusk Till Dawn,1996,R,108,7.2,48,Robert Rodriguez,287250,25753840
48,The Mist,2007,R,126,7.1,58,Frank Darabont,281362,25593755
49,Insidious,2010,PG-13,103,6.8,52,James Wan,278934,54009150
50,Alien³,1992,R,114,6.5,59,David Fincher,278165,55473600
51,Death Proof,2007,TV-MA,127,7.0,-1,Quentin Tarantino,268765,-1
52,Beetlejuice,1988,PG,92,7.5,70,Tim Burton,264129,73707461
53,28 Weeks Later,2007,R,100,7.0,78,Juan Carlos Fresnadillo,258753,28638916
